studentId,fullName,degree,gpa,courseCode,courseTitle,credits,grade
GRA-001,Cody Xu,B.S. Biology,312,BIO101,General Biology,3,A-
GRA-001,Cody Xu,B.S. Biology,312,BIO320,Ecology,4,C+
GRA-001,Cody Xu,B.S. Biology,312,MATH130,Calculus I,3,A-
GRA-001,Cody Xu,B.S. Biology,312,STAT215,Biostatistics,4,B-
GRA-001,Cody Xu,B.S. Biology,312,CHEM110,General Chemistry,4,B
GRA-001,Cody Xu,B.S. Biology,312,BIO210,Cell Biology,3,A
GRA-001,Cody Xu,B.S. Biology,312,CHEM210,Organic Chemistry,3,C+
GRA-001,Cody Xu,B.S. Biology,312,BIO410,Microbiology,3,B+
GRA-001,Cody Xu,B.S. Biology,312,BIO305,Genetics,3,B+
GRA-001,Cody Xu,B.S. Biology,312,BCHM310,Biochemistry,3,A
GRA-002,Vera Ali,B.A. Economics,313,MATH210,Linear Algebra,4,A-
GRA-002,Vera Ali,B.A. Economics,313,ECON310,Game Theory,3,A-
GRA-002,Vera Ali,B.A. Economics,313,ECON240,International Trade,3,B+
GRA-002,Vera Ali,B.A. Economics,313,STAT200,Statistics,3,B+
GRA-002,Vera Ali,B.A. Economics,313,HIST240,Economic History,3,C+
GRA-002,Vera Ali,B.A. Economics,313,ECON410,Public Economics,3,C+
GRA-002,Vera Ali,B.A. Economics,313,ECON210,Macroeconomics,3,A
GRA-002,Vera Ali,B.A. Economics,313,ECON101,Microeconomics,3,B-
GRA-002,Vera Ali,B.A. Economics,313,FIN220,Corporate Finance,4,C
GRA-002,Vera Ali,B.A. Economics,313,ECON340,Econometrics,4,A-
GRA-003,Hugo Costa,B.A. Economics,375,MATH210,Linear Algebra,3,A-
GRA-003,Hugo Costa,B.A. Economics,375,ECON210,Macroeconomics,4,B
GRA-003,Hugo Costa,B.A. Economics,375,ECON240,International Trade,3,A
GRA-003,Hugo Costa,B.A. Economics,375,FIN220,Corporate Finance,3,A-
GRA-003,Hugo Costa,B.A. Economics,375,STAT200,Statistics,4,B+
GRA-003,Hugo Costa,B.A. Economics,375,ECON410,Public Economics,3,B-
GRA-003,Hugo Costa,B.A. Economics,375,ECON340,Econometrics,3,A
GRA-003,Hugo Costa,B.A. Economics,375,ECON310,Game Theory,4,A
GRA-003,Hugo Costa,B.A. Economics,375,HIST240,Economic History,3,B+
GRA-003,Hugo Costa,B.A. Economics,375,ECON101,Microeconomics,3,A
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,ME310,Fluid Mechanics,3,B
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,PHYS121,Physics I,3,C+
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,ENGR300,Engineering Ethics,3,B-
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,ME420,Control Systems,3,A
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,ME410,Heat Transfer,4,A-
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,ME330,Machine Design,3,A-
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,ME101,Engineering Mechanics,4,C+
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,ME230,Materials Science,4,A-
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,MATH251,Differential Equations,3,A-
GRA-004,Nora Zimmer,B.S. Mechanical Engineering,317,ME210,Thermodynamics,3,A-
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,ME330,Machine Design,4,C
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,ME101,Engineering Mechanics,3,A-
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,ME210,Thermodynamics,3,B
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,ME230,Materials Science,3,A
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,ENGR300,Engineering Ethics,3,A
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,ME310,Fluid Mechanics,4,A-
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,ME410,Heat Transfer,3,A
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,ME420,Control Systems,3,B+
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,PHYS121,Physics I,3,A
GRA-005,Nora Uribe,B.S. Mechanical Engineering,321,MATH251,Differential Equations,3,B-
GRA-006,Finn Klein,B.A. Psychology,340,PSY410,Research Methods,3,A-
GRA-006,Finn Klein,B.A. Psychology,340,SOC210,Sociology,3,B
GRA-006,Finn Klein,B.A. Psychology,340,PSY330,Social Psychology,3,A
GRA-006,Finn Klein,B.A. Psychology,340,PHIL220,Ethics,3,A
GRA-006,Finn Klein,B.A. Psychology,340,PSY101,Intro to Psychology,4,A
GRA-006,Finn Klein,B.A. Psychology,340,PSY210,Cognitive Psychology,3,A
GRA-006,Finn Klein,B.A. Psychology,340,PSY310,Abnormal Psychology,3,A-
GRA-006,Finn Klein,B.A. Psychology,340,STAT205,Behavioral Statistics,3,A-
GRA-006,Finn Klein,B.A. Psychology,340,BIO150,Neuroscience,3,A
GRA-006,Finn Klein,B.A. Psychology,340,PSY230,Developmental Psychology,3,B+
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,ME230,Materials Science,3,B+
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,ME310,Fluid Mechanics,4,A
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,ME101,Engineering Mechanics,3,C
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,ME420,Control Systems,3,A-
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,ME330,Machine Design,3,A-
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,PHYS121,Physics I,3,A-
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,ME210,Thermodynamics,3,B
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,ME410,Heat Transfer,3,A-
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,MATH251,Differential Equations,3,A-
GRA-007,Jade Ingram,B.S. Mechanical Engineering,346,ENGR300,Engineering Ethics,3,A-
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,ME420,Control Systems,3,A-
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,ME210,Thermodynamics,4,C
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,ME101,Engineering Mechanics,3,A
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,ME330,Machine Design,3,A
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,PHYS121,Physics I,3,A-
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,ENGR300,Engineering Ethics,3,B+
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,ME230,Materials Science,4,B
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,ME310,Fluid Mechanics,3,C
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,MATH251,Differential Equations,3,B-
GRA-008,Luna Yates,B.S. Mechanical Engineering,294,ME410,Heat Transfer,3,B+
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,ME410,Heat Transfer,3,A
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,ME330,Machine Design,4,B-
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,ENGR300,Engineering Ethics,4,A
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,ME101,Engineering Mechanics,3,B+
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,ME210,Thermodynamics,3,A-
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,PHYS121,Physics I,3,C
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,ME230,Materials Science,3,A
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,MATH251,Differential Equations,3,A-
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,ME310,Fluid Mechanics,3,C
GRA-009,Neil Ali,B.S. Mechanical Engineering,340,ME420,Control Systems,3,B+
GRA-010,Yale Baker,B.A. Psychology,354,PSY310,Abnormal Psychology,3,C
GRA-010,Yale Baker,B.A. Psychology,354,STAT205,Behavioral Statistics,3,B+
GRA-010,Yale Baker,B.A. Psychology,354,PHIL220,Ethics,4,B
GRA-010,Yale Baker,B.A. Psychology,354,SOC210,Sociology,3,C+
GRA-010,Yale Baker,B.A. Psychology,354,PSY210,Cognitive Psychology,4,B-
GRA-010,Yale Baker,B.A. Psychology,354,PSY330,Social Psychology,3,B+
GRA-010,Yale Baker,B.A. Psychology,354,PSY101,Intro to Psychology,3,A
GRA-010,Yale Baker,B.A. Psychology,354,BIO150,Neuroscience,4,B
GRA-010,Yale Baker,B.A. Psychology,354,PSY410,Research Methods,3,B+
GRA-010,Yale Baker,B.A. Psychology,354,PSY230,Developmental Psychology,3,A
GRA-011,Jade Ellis,B.S. Biology,354,BIO101,General Biology,4,B-
GRA-011,Jade Ellis,B.S. Biology,354,CHEM210,Organic Chemistry,3,C+
GRA-011,Jade Ellis,B.S. Biology,354,BCHM310,Biochemistry,3,B-
GRA-011,Jade Ellis,B.S. Biology,354,BIO210,Cell Biology,3,A
GRA-011,Jade Ellis,B.S. Biology,354,CHEM110,General Chemistry,3,A
GRA-011,Jade Ellis,B.S. Biology,354,MATH130,Calculus I,3,B+
GRA-011,Jade Ellis,B.S. Biology,354,BIO305,Genetics,4,B-
GRA-011,Jade Ellis,B.S. Biology,354,BIO320,Ecology,3,B+
GRA-011,Jade Ellis,B.S. Biology,354,STAT215,Biostatistics,3,C+
GRA-011,Jade Ellis,B.S. Biology,354,BIO410,Microbiology,3,C
GRA-012,Finn Farrell,B.S. Biology,373,BIO101,General Biology,3,A-
GRA-012,Finn Farrell,B.S. Biology,373,BIO210,Cell Biology,3,B+
GRA-012,Finn Farrell,B.S. Biology,373,BIO305,Genetics,3,B+
GRA-012,Finn Farrell,B.S. Biology,373,MATH130,Calculus I,3,B
GRA-012,Finn Farrell,B.S. Biology,373,STAT215,Biostatistics,4,A
GRA-012,Finn Farrell,B.S. Biology,373,BIO320,Ecology,3,B+
GRA-012,Finn Farrell,B.S. Biology,373,BIO410,Microbiology,3,B
GRA-012,Finn Farrell,B.S. Biology,373,CHEM110,General Chemistry,3,B+
GRA-012,Finn Farrell,B.S. Biology,373,CHEM210,Organic Chemistry,3,A
GRA-012,Finn Farrell,B.S. Biology,373,BCHM310,Biochemistry,4,A
GRA-013,Kent Tanaka,B.A. Economics,397,ECON101,Microeconomics,3,C
GRA-013,Kent Tanaka,B.A. Economics,397,ECON310,Game Theory,4,C+
GRA-013,Kent Tanaka,B.A. Economics,397,FIN220,Corporate Finance,3,C
GRA-013,Kent Tanaka,B.A. Economics,397,HIST240,Economic History,4,A
GRA-013,Kent Tanaka,B.A. Economics,397,MATH210,Linear Algebra,3,A
GRA-013,Kent Tanaka,B.A. Economics,397,ECON410,Public Economics,3,B+
GRA-013,Kent Tanaka,B.A. Economics,397,ECON210,Macroeconomics,3,A
GRA-013,Kent Tanaka,B.A. Economics,397,ECON340,Econometrics,3,A
GRA-013,Kent Tanaka,B.A. Economics,397,STAT200,Statistics,4,C
GRA-013,Kent Tanaka,B.A. Economics,397,ECON240,International Trade,3,B-
GRA-014,Tara Singh,B.S. Computer Science,341,CS101,Intro to Computer Science,4,B+
GRA-014,Tara Singh,B.S. Computer Science,341,CS201,Programming Languages,3,B
GRA-014,Tara Singh,B.S. Computer Science,341,CS410,Databases,4,C+
GRA-014,Tara Singh,B.S. Computer Science,341,CS470,Software Engineering,4,A
GRA-014,Tara Singh,B.S. Computer Science,341,CS420,Networks,3,C
GRA-014,Tara Singh,B.S. Computer Science,341,CS460,Machine Learning,4,B+
GRA-014,Tara Singh,B.S. Computer Science,341,CS360,Operating Systems,4,B+
GRA-014,Tara Singh,B.S. Computer Science,341,CS240,Data Structures,4,B
GRA-014,Tara Singh,B.S. Computer Science,341,STAT310,Probability,3,B
GRA-014,Tara Singh,B.S. Computer Science,341,CS320,Algorithms,3,B+
GRA-015,Zane Gray,B.A. Economics,319,ECON240,International Trade,3,A-
GRA-015,Zane Gray,B.A. Economics,319,ECON101,Microeconomics,3,B+
GRA-015,Zane Gray,B.A. Economics,319,ECON210,Macroeconomics,3,B-
GRA-015,Zane Gray,B.A. Economics,319,HIST240,Economic History,3,A-
GRA-015,Zane Gray,B.A. Economics,319,MATH210,Linear Algebra,4,B+
GRA-015,Zane Gray,B.A. Economics,319,ECON310,Game Theory,3,C
GRA-015,Zane Gray,B.A. Economics,319,ECON410,Public Economics,3,B
GRA-015,Zane Gray,B.A. Economics,319,ECON340,Econometrics,3,B-
GRA-015,Zane Gray,B.A. Economics,319,STAT200,Statistics,4,A
GRA-015,Zane Gray,B.A. Economics,319,FIN220,Corporate Finance,3,B
GRA-016,Wade Stewart,B.S. Biology,388,BIO305,Genetics,4,A
GRA-016,Wade Stewart,B.S. Biology,388,CHEM110,General Chemistry,3,B+
GRA-016,Wade Stewart,B.S. Biology,388,BIO210,Cell Biology,3,A
GRA-016,Wade Stewart,B.S. Biology,388,BIO101,General Biology,3,B-
GRA-016,Wade Stewart,B.S. Biology,388,CHEM210,Organic Chemistry,3,B
GRA-016,Wade Stewart,B.S. Biology,388,BCHM310,Biochemistry,3,C
GRA-016,Wade Stewart,B.S. Biology,388,BIO410,Microbiology,4,A-
