studentId,fullName,degree,gpa,courseCode,courseTitle,credits,grade
MONO-001,Jack Khan,B.S. Biology,302,MATH130,Calculus I,3,C
MONO-001,Jack Khan,B.S. Biology,302,CHEM110,General Chemistry,3,A
MONO-001,Jack Khan,B.S. Biology,302,BIO101,General Biology,3,A-
MONO-001,Jack Khan,B.S. Biology,302,BIO305,Genetics,3,C+
MONO-001,Jack Khan,B.S. Biology,302,STAT215,Biostatistics,3,B
MONO-001,Jack Khan,B.S. Biology,302,CHEM210,Organic Chemistry,3,A
MONO-001,Jack Khan,B.S. Biology,302,BIO210,Cell Biology,3,B+
MONO-001,Jack Khan,B.S. Biology,302,BIO320,Ecology,3,C+
MONO-001,Jack Khan,B.S. Biology,302,BCHM310,Biochemistry,3,C+
MONO-001,Jack Khan,B.S. Biology,302,BIO410,Microbiology,3,B-
MONO-002,Vera Xiong,B.A. Psychology,298,PHIL220,Ethics,4,C+
MONO-002,Vera Xiong,B.A. Psychology,298,SOC210,Sociology,3,C+
MONO-002,Vera Xiong,B.A. Psychology,298,BIO150,Neuroscience,3,A
MONO-002,Vera Xiong,B.A. Psychology,298,STAT205,Behavioral Statistics,3,B+
MONO-002,Vera Xiong,B.A. Psychology,298,PSY410,Research Methods,4,B+
MONO-002,Vera Xiong,B.A. Psychology,298,PSY330,Social Psychology,3,C+
MONO-002,Vera Xiong,B.A. Psychology,298,PSY310,Abnormal Psychology,3,C+
MONO-002,Vera Xiong,B.A. Psychology,298,PSY230,Developmental Psychology,4,A-
MONO-002,Vera Xiong,B.A. Psychology,298,PSY210,Cognitive Psychology,3,A-
MONO-002,Vera Xiong,B.A. Psychology,298,PSY101,Intro to Psychology,3,B
MONO-003,Reed Nolan,B.S. Biology,362,BIO410,Microbiology,3,A
MONO-003,Reed Nolan,B.S. Biology,362,BCHM310,Biochemistry,3,B-
MONO-003,Reed Nolan,B.S. Biology,362,BIO101,General Biology,3,A-
MONO-003,Reed Nolan,B.S. Biology,362,CHEM210,Organic Chemistry,4,A
MONO-003,Reed Nolan,B.S. Biology,362,STAT215,Biostatistics,3,B-
MONO-003,Reed Nolan,B.S. Biology,362,BIO210,Cell Biology,3,C
MONO-003,Reed Nolan,B.S. Biology,362,MATH130,Calculus I,3,A-
MONO-003,Reed Nolan,B.S. Biology,362,BIO305,Genetics,3,B-
MONO-003,Reed Nolan,B.S. Biology,362,BIO320,Ecology,4,B+
MONO-003,Reed Nolan,B.S. Biology,362,CHEM110,General Chemistry,3,B-
MONO-004,Wade Gupta,B.A. Economics,372,ECON210,Macroeconomics,3,A-
MONO-004,Wade Gupta,B.A. Economics,372,ECON340,Econometrics,3,B+
MONO-004,Wade Gupta,B.A. Economics,372,ECON310,Game Theory,3,C
MONO-004,Wade Gupta,B.A. Economics,372,HIST240,Economic History,3,A-
MONO-004,Wade Gupta,B.A. Economics,372,ECON410,Public Economics,3,A-
MONO-004,Wade Gupta,B.A. Economics,372,FIN220,Corporate Finance,4,B+
MONO-004,Wade Gupta,B.A. Economics,372,STAT200,Statistics,3,A
MONO-004,Wade Gupta,B.A. Economics,372,ECON101,Microeconomics,4,C
MONO-004,Wade Gupta,B.A. Economics,372,MATH210,Linear Algebra,3,C+
MONO-004,Wade Gupta,B.A. Economics,372,ECON240,International Trade,3,A
MONO-005,Vera Valdez,B.S. Computer Science,306,CS330,Computer Architecture,3,A
MONO-005,Vera Valdez,B.S. Computer Science,306,CS470,Software Engineering,3,C+
MONO-005,Vera Valdez,B.S. Computer Science,306,CS320,Algorithms,3,A-
MONO-005,Vera Valdez,B.S. Computer Science,306,CS410,Databases,3,B
MONO-005,Vera Valdez,B.S. Computer Science,306,CS460,Machine Learning,4,B+
MONO-005,Vera Valdez,B.S. Computer Science,306,CS360,Operating Systems,3,A
MONO-005,Vera Valdez,B.S. Computer Science,306,MATH420,Cryptography,4,B+
MONO-005,Vera Valdez,B.S. Computer Science,306,CS420,Networks,3,A-
MONO-005,Vera Valdez,B.S. Computer Science,306,STAT310,Probability,3,B
MONO-005,Vera Valdez,B.S. Computer Science,306,CS240,Data Structures,4,C
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,ENGR300,Engineering Ethics,3,B+
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,ME101,Engineering Mechanics,3,A
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,ME310,Fluid Mechanics,4,B+
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,ME330,Machine Design,3,A
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,ME410,Heat Transfer,3,A
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,ME420,Control Systems,3,C
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,ME210,Thermodynamics,3,B+
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,PHYS121,Physics I,3,B+
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,ME230,Materials Science,3,A-
MONO-006,Lara Diaz,B.S. Mechanical Engineering,345,MATH251,Differential Equations,4,C
MONO-007,June Diaz,B.S. Mechanical Engineering,294,ME101,Engineering Mechanics,3,A
MONO-007,June Diaz,B.S. Mechanical Engineering,294,ME330,Machine Design,3,A-
MONO-007,June Diaz,B.S. Mechanical Engineering,294,MATH251,Differential Equations,3,B-
MONO-007,June Diaz,B.S. Mechanical Engineering,294,ME210,Thermodynamics,3,A-
MONO-007,June Diaz,B.S. Mechanical Engineering,294,ENGR300,Engineering Ethics,3,B-
MONO-007,June Diaz,B.S. Mechanical Engineering,294,PHYS121,Physics I,3,B-
MONO-007,June Diaz,B.S. Mechanical Engineering,294,ME410,Heat Transfer,3,B
MONO-007,June Diaz,B.S. Mechanical Engineering,294,ME310,Fluid Mechanics,4,A-
MONO-007,June Diaz,B.S. Mechanical Engineering,294,ME420,Control Systems,4,A-
MONO-007,June Diaz,B.S. Mechanical Engineering,294,ME230,Materials Science,3,B
MONO-008,Milo Khan,B.S. Computer Science,322,CS330,Computer Architecture,3,C+
MONO-008,Milo Khan,B.S. Computer Science,322,CS470,Software Engineering,4,A-
MONO-008,Milo Khan,B.S. Computer Science,322,CS410,Databases,3,C+
MONO-008,Milo Khan,B.S. Computer Science,322,CS320,Algorithms,3,B
MONO-008,Milo Khan,B.S. Computer Science,322,CS360,Operating Systems,3,B+
MONO-008,Milo Khan,B.S. Computer Science,322,CS460,Machine Learning,4,B+
MONO-008,Milo Khan,B.S. Computer Science,322,STAT310,Probability,3,B-
MONO-008,Milo Khan,B.S. Computer Science,322,CS101,Intro to Computer Science,3,B+
MONO-008,Milo Khan,B.S. Computer Science,322,CS240,Data Structures,3,B
MONO-008,Milo Khan,B.S. Computer Science,322,CS420,Networks,3,A
MONO-009,Leo Emery,B.A. Economics,382,ECON101,Microeconomics,4,A-
MONO-009,Leo Emery,B.A. Economics,382,HIST240,Economic History,3,B+
MONO-009,Leo Emery,B.A. Economics,382,STAT200,Statistics,3,C
MONO-009,Leo Emery,B.A. Economics,382,ECON310,Game Theory,3,A
MONO-009,Leo Emery,B.A. Economics,382,MATH210,Linear Algebra,4,B
MONO-009,Leo Emery,B.A. Economics,382,ECON210,Macroeconomics,3,A
MONO-009,Leo Emery,B.A. Economics,382,ECON340,Econometrics,4,B-
MONO-009,Leo Emery,B.A. Economics,382,ECON240,International Trade,4,C
MONO-009,Leo Emery,B.A. Economics,382,ECON410,Public Economics,4,A
MONO-009,Leo Emery,B.A. Economics,382,FIN220,Corporate Finance,4,C+
MONO-010,Ava Xu,B.S. Biology,375,BCHM310,Biochemistry,3,C+
MONO-010,Ava Xu,B.S. Biology,375,BIO101,General Biology,3,B+
MONO-010,Ava Xu,B.S. Biology,375,CHEM210,Organic Chemistry,4,C
MONO-010,Ava Xu,B.S. Biology,375,BIO210,Cell Biology,3,A-
MONO-010,Ava Xu,B.S. Biology,375,BIO305,Genetics,3,C
MONO-010,Ava Xu,B.S. Biology,375,STAT215,Biostatistics,3,B
MONO-010,Ava Xu,B.S. Biology,375,MATH130,Calculus I,4,B+
MONO-010,Ava Xu,B.S. Biology,375,BIO320,Ecology,3,B
MONO-010,Ava Xu,B.S. Biology,375,BIO410,Microbiology,4,B+
MONO-010,Ava Xu,B.S. Biology,375,CHEM110,General Chemistry,3,C
